token,domain,field,raw_value_en,value_norm,map_to_snomed,snomed_concept_id,snomed_fsn,snomed_semantic_tag,mapping_confidence,status,notes
sick.pe.abdomen.distended,pe,abdomen,Distended,distended,TRUE,,,,,pending,
sick.pe.abdomen.epigastric_pain,pe,abdomen,Epigastric pain,epigastric_pain,TRUE,,,,,pending,
sick.pe.abdomen.guarding,pe,abdomen,Guarding,guarding,TRUE,,,,,pending,
sick.pe.abdomen.hypogastric_pain,pe,abdomen,Hypogastric pain,hypogastric_pain,TRUE,,,,,pending,
sick.pe.abdomen.llq_pain,pe,abdomen,LLQ pain,llq_pain,TRUE,,,,,pending,
sick.pe.abdomen.normal,pe,abdomen,Normal,normal,TRUE,,,,,pending,
sick.pe.abdomen.periumbilical_pain,pe,abdomen,Periumbilical pain,periumbilical_pain,TRUE,,,,,pending,
sick.pe.abdomen.rebound,pe,abdomen,Rebound,rebound,TRUE,,,,,pending,
sick.pe.abdomen.rlq_pain,pe,abdomen,RLQ pain,rlq_pain,TRUE,,,,,pending,
sick.pe.abdomen.tender,pe,abdomen,Tender,tender,TRUE,,,,,pending,
sick.pe.color.normal,pe,color,Normal,normal,TRUE,,,,,pending,
sick.pe.color.pale,pe,color,Pale,pale,TRUE,,,,,pending,
sick.pe.color.yellow,pe,color,Yellow,yellow,TRUE,,,,,pending,
sick.pe.ear.normal,pe,ear,Normal,normal,TRUE,,,,,pending,
sick.pe.ear.not_seen_wax,pe,ear,Not seen (wax),not_seen_wax,TRUE,,,,,pending,
sick.pe.ear.pus_in_canal,pe,ear,Pus in canal,pus_in_canal,TRUE,,,,,pending,
sick.pe.ear.red_and_bulging_with_pus,pe,ear,Red & Bulging with pus,red_and_bulging_with_pus,TRUE,,,,,pending,
sick.pe.ear.red_canal,pe,ear,Red canal,red_canal,TRUE,,,,,pending,
sick.pe.ear.red_tm,pe,ear,Red TM,red_tm,TRUE,,,,,pending,
sick.pe.ent.congested_nose,pe,ent,Congested nose,congested_nose,TRUE,,,,,pending,
sick.pe.ent.ear_discharge,pe,ent,Ear discharge,ear_discharge,TRUE,,,,,pending,
sick.pe.ent.normal,pe,ent,Normal,normal,TRUE,,,,,pending,
sick.pe.ent.red_throat,pe,ent,Red throat,red_throat,TRUE,,,,,pending,
sick.pe.ent.tonsil_deposits,pe,ent,Tonsil deposits,tonsil_deposits,TRUE,,,,,pending,
sick.pe.eye.crusty,pe,eye,Crusty,crusty,TRUE,,,,,pending,
sick.pe.eye.discharge,pe,eye,Discharge,discharge,TRUE,,,,,pending,
sick.pe.eye.eyelid_swelling,pe,eye,Eyelid swelling,eyelid_swelling,TRUE,,,,,pending,
sick.pe.eye.normal,pe,eye,Normal,normal,TRUE,,,,,pending,
sick.pe.eye.red,pe,eye,Red,red,TRUE,,,,,pending,
sick.pe.general_appearance.irritable,pe,general_appearance,Irritable,irritable,TRUE,,,,,pending,
sick.pe.general_appearance.lethargic,pe,general_appearance,Lethargic,lethargic,TRUE,,,,,pending,
sick.pe.general_appearance.tired,pe,general_appearance,Tired,tired,TRUE,,,,,pending,
sick.pe.general_appearance.well,pe,general_appearance,Well,well,TRUE,,,,,pending,
sick.pe.genitalia.discharge,pe,genitalia,Discharge,discharge,TRUE,,,,,pending,
sick.pe.genitalia.normal,pe,genitalia,Normal,normal,TRUE,,,,,pending,
sick.pe.genitalia.redness,pe,genitalia,Redness,redness,TRUE,,,,,pending,
sick.pe.genitalia.swelling,pe,genitalia,Swelling,swelling,TRUE,,,,,pending,
sick.pe.heart.bradycardia,pe,heart,Bradycardia,bradycardia,TRUE,,,,,pending,
sick.pe.heart.murmur,pe,heart,Murmur,murmur,TRUE,,,,,pending,
sick.pe.heart.normal,pe,heart,Normal,normal,TRUE,,,,,pending,
sick.pe.heart.tachycardia,pe,heart,Tachycardia,tachycardia,TRUE,,,,,pending,
sick.pe.hydration.decreased,pe,hydration,Decreased,decreased,TRUE,,,,,pending,
sick.pe.hydration.normal,pe,hydration,Normal,normal,TRUE,,,,,pending,
sick.pe.lungs.crackles,pe,lungs,Crackles,crackles,TRUE,,,,,pending,
sick.pe.lungs.crackles_l,pe,lungs,Crackles (L),crackles_l,TRUE,,,,,pending,
sick.pe.lungs.crackles_r,pe,lungs,Crackles (R),crackles_r,TRUE,,,,,pending,
sick.pe.lungs.decreased_sounds,pe,lungs,Decreased sounds,decreased_sounds,TRUE,,,,,pending,
sick.pe.lungs.decreased_sounds_l,pe,lungs,Decreased sounds (L),decreased_sounds_l,TRUE,,,,,pending,
sick.pe.lungs.decreased_sounds_r,pe,lungs,Decreased sounds (R),decreased_sounds_r,TRUE,,,,,pending,
sick.pe.lungs.normal,pe,lungs,Normal,normal,TRUE,,,,,pending,
sick.pe.lungs.rhonchi,pe,lungs,Rhonchi,rhonchi,TRUE,,,,,pending,
sick.pe.lungs.rhonchi_l,pe,lungs,Rhonchi (L),rhonchi_l,TRUE,,,,,pending,
sick.pe.lungs.rhonchi_r,pe,lungs,Rhonchi (R),rhonchi_r,TRUE,,,,,pending,
sick.pe.lungs.wheeze,pe,lungs,Wheeze,wheeze,TRUE,,,,,pending,
sick.pe.lungs.wheeze_l,pe,lungs,Wheeze (L),wheeze_l,TRUE,,,,,pending,
sick.pe.lungs.wheeze_r,pe,lungs,Wheeze (R),wheeze_r,TRUE,,,,,pending,
sick.pe.lymph_nodes.cervical,pe,lymph_nodes,Cervical,cervical,TRUE,,,,,pending,
sick.pe.lymph_nodes.generalized,pe,lymph_nodes,Generalized,generalized,TRUE,,,,,pending,
sick.pe.lymph_nodes.none,pe,lymph_nodes,None,none,TRUE,,,,,pending,
sick.pe.lymph_nodes.submandibular,pe,lymph_nodes,Submandibular,submandibular,TRUE,,,,,pending,
sick.pe.lymph_nodes.tender,pe,lymph_nodes,Tender,tender,TRUE,,,,,pending,
sick.pe.musculoskeletal.limping,pe,musculoskeletal,Limping,limping,TRUE,,,,,pending,
sick.pe.musculoskeletal.normal,pe,musculoskeletal,Normal,normal,TRUE,,,,,pending,
sick.pe.musculoskeletal.pain,pe,musculoskeletal,Pain,pain,TRUE,,,,,pending,
sick.pe.musculoskeletal.swollen_joint,pe,musculoskeletal,Swollen joint,swollen_joint,TRUE,,,,,pending,
sick.pe.neurological.abnormal_tone,pe,neurological,Abnormal tone,abnormal_tone,TRUE,,,,,pending,
sick.pe.neurological.alert,pe,neurological,Alert,alert,TRUE,,,,,pending,
sick.pe.neurological.irritable,pe,neurological,Irritable,irritable,TRUE,,,,,pending,
sick.pe.neurological.sleepy,pe,neurological,Sleepy,sleepy,TRUE,,,,,pending,
sick.pe.peristalsis.decreased,pe,peristalsis,Decreased,decreased,TRUE,,,,,pending,
sick.pe.peristalsis.increased,pe,peristalsis,Increased,increased,TRUE,,,,,pending,
sick.pe.peristalsis.normal,pe,peristalsis,Normal,normal,TRUE,,,,,pending,
sick.pe.skin.dry_scaly_rash,pe,skin,"Dry, scaly rash",dry_scaly_rash,TRUE,,,,,pending,
sick.pe.skin.macular_rash,pe,skin,Macular rash,macular_rash,TRUE,,,,,pending,
sick.pe.skin.maculopapular_rash,pe,skin,Maculopapular rash,maculopapular_rash,TRUE,,,,,pending,
sick.pe.skin.normal,pe,skin,Normal,normal,TRUE,,,,,pending,
sick.pe.skin.papular_rash,pe,skin,Papular rash,papular_rash,TRUE,,,,,pending,
sick.pe.skin.petechiae,pe,skin,Petechiae,petechiae,TRUE,,,,,pending,
sick.pe.skin.purpura,pe,skin,Purpura,purpura,TRUE,,,,,pending,
